rank,player_name,shortlist_score,shortlist_tier,sos_economy,dot_ball_pct,death_econ_raw,balls_bowled,econ_trend_s1_s2,age,bowling_type,score_sos_economy,score_dot_ball_pct,score_death_economy,score_balls_bowled,score_econ_trend_s1_s2,score_age_factor,score_bowling_type_fit
1,Subash Bhandari,8.619776119402118,TIER-1 PRIORITY,3.3333333333333326,7222.222222222222,0.0,18.0,-8.666666666666668,,Spin,10.0,9.999999999997339,10.0,0.4477611940265095,10.0,5.0,6.5
2,SL Verma,7.994674849189518,TIER-1 PRIORITY,6.0,5666.666666666666,0.0,30.0,,,Medium Pace,8.700330399886553,9.999999999997339,10.0,1.3432835820795284,6.002473710161304,5.0,8.0
3,Surya Tamang,7.6907640557253645,TIER-1 PRIORITY,6.8,5333.333333333334,0.0,30.0,-1.2869565217391292,21.0,Medium Pace,7.5268754328549905,9.329753245867959,10.0,1.3432835820795284,7.824224184873216,5.0,8.0
4,A Bohara,7.604849822084506,TIER-1 PRIORITY,6.290322580645161,5000.000000000001,6.0,62.0,-2.893350888742595,30.0,Medium Pace,8.274479807012195,8.442661953637893,5.804195804489217,3.7313432835542453,10.0,10.0,8.0
5,Sunny Patel,7.497499745568626,TIER-1 PRIORITY,5.023255813953488,5813.953488372093,6.5,43.0,,,Spin,10.0,9.999999999997339,5.454545454863318,2.3134328358036322,6.002473710161304,5.0,6.5
6,AR Ramjani,7.480797593648684,TIER-1 PRIORITY,5.25,5416.666666666668,4.0,24.0,,,,9.800444431478644,9.55152606892548,7.202797202992811,0.895522388053019,6.002473710161304,5.0,5.0
7,Harmeet Singh,7.455756376119015,TIER-1 PRIORITY,5.384615384615385,5256.410256410256,4.2,78.0,0.5688259109311744,37.0,Spin,9.602988066833909,9.125039870737941,7.062937063142451,4.925373134291604,5.197272558636035,0.0,6.5
8,S Lamichhane,7.43860692326571,TIER-1 PRIORITY,5.2799999999999985,4000.0,5.279999999999999,50.0,-2.7200000000000015,25.0,Spin,9.756439870214964,5.781388076947685,6.307692307950511,2.8358208955012265,9.852767956714594,10.0,6.5
9,S Malla,7.405748760403874,TIER-1 PRIORITY,6.611111111111111,5462.962962962963,4.0,108.0,1.9611111111111112,31.0,Spin,7.803941188959666,9.674733192846318,7.202797202992811,7.164179104424152,3.2264241410573202,6.5,6.5
10,SA Zaib,7.374814556144449,TIER-1 PRIORITY,4.6,4333.333333333334,5.0,30.0,-1.277551020408164,27.0,Spin,10.0,6.6684793691777555,6.5034965037410135,1.3432835820795284,7.81091023352742,10.0,6.5
11,DA Douthwaite,7.3719491980328495,TIER-1 PRIORITY,6.166666666666667,4999.999999999998,5.454545454545455,36.0,-2.155913978494623,27.0,Spin,8.45586061508831,8.442661953637886,6.185632549535651,1.791044776106038,9.054276352610444,10.0,6.5
12,SC Kuggeleijn,7.357943052661283,TIER-1 PRIORITY,6.28,4866.666666666667,6.235294117647059,150.0,-0.1788235294117646,34.0,Spin,8.289621161425506,8.087825436745863,5.639654463488793,9.999999999925373,6.255607241941624,3.5,6.5
13,R Kumar,7.323944373167753,TIER-1 PRIORITY,6.5,5208.333333333334,5.666666666666667,48.0,-3.177419354838708,22.0,Spin,7.9669210454918264,8.997094011281684,6.037296037573148,2.6865671641590567,10.0,6.666666666666666,6.5
14,D Lakshan,7.307555513787119,TIER-1 PRIORITY,5.671232876712329,5068.493150684932,5.739130434782608,73.0,,,Spin,9.182572167159798,8.624940986287905,5.986622073859252,4.552238805936179,6.002473710161304,5.0,6.5
15,MMMS Cooray,7.155636643220834,TIER-1 PRIORITY,5.020408163265307,4489.795918367347,4.5,49.0,,20.0,Spin,10.0,7.084869159408196,6.853146853366912,2.7611940298301416,6.002473710161304,3.333333333333333,6.5
16,P Sarraf,7.139276677582622,TIER-1 PRIORITY,6.72,4800.0,0.0,25.0,,20.0,Medium Pace,7.644220929558147,7.91040717829985,10.0,0.9701492537241039,6.002473710161304,3.333333333333333,8.0
17,BP Sharma,7.0063633454271725,TIER-1 PRIORITY,7.5,5000.0,0.0,24.0,1.0384615384615383,25.0,Spin,6.500102336702371,8.44266195363789,10.0,0.895522388053019,4.532480148835813,10.0,6.5
18,N Bhatta,6.986474171179861,TIER-1 PRIORITY,8.0,5833.333333333334,0.0,24.0,,20.0,Medium Pace,5.766692982307644,9.999999999997339,10.0,0.895522388053019,6.002473710161304,3.333333333333333,8.0
19,DS Airee,6.937588182218527,TIER-2 CONSIDER,8.88607594936709,5063.291139240507,0.0,79.0,1.2360759493670903,26.0,Pace,4.46698020236762,8.611097009124613,10.0,4.999999999962689,4.252747196870495,10.0,9.0
20,WG Bosisto,6.898453023571876,TIER-2 CONSIDER,6.648648648648647,4864.864864864865,0.0,37.0,2.328648648648648,34.0,Spin,7.7488804266177205,8.083030348679754,10.0,1.8656716417771226,2.7061566167289595,3.5,6.5
21,Abhishesh Gautam,6.8893359438108615,TIER-2 CONSIDER,6.4251968503937,5196.850393700788,10.235294117647058,127.0,0.6751968503937,23.0,Spin,8.076643704810724,8.96653476400998,2.8424516664816046,8.582089552174764,5.046699243851832,8.333333333333334,6.5
22,R Trumpelmann,6.757122606722049,TIER-2 CONSIDER,6.6839378238341975,4455.958549222798,9.84,193.0,,27.0,Spin,7.697117604237807,6.994818652847883,3.1188811193623147,9.999999999925373,6.002473710161304,10.0,6.5
23,UB Singh,6.735310429276223,TIER-2 CONSIDER,6.5,4166.666666666667,0.0,12.0,,,,7.9669210454918264,6.224933723062721,10.0,0.0,6.002473710161304,5.0,5.0
24,Maaz Sadaqat,6.53906665996491,TIER-2 CONSIDER,6.8999999999999995,4750.0,7.125,80.0,,22.0,Spin,7.380193561976045,7.777343484465339,5.017482517830945,5.074626865633775,6.002473710161304,6.666666666666666,6.5
25,Sohail Tanvir,6.502070015659794,TIER-2 CONSIDER,6.640776699029126,5339.805825242718,7.949999999999999,103.0,1.3275236869809337,41.0,Spin,7.760427149594282,9.346978319503492,4.440559440948212,6.791044776068727,4.12329841084296,0.0,6.5
26,SP Krishnamurthi,6.35728068171135,TIER-2 CONSIDER,6.4363636363636365,4181.818181818182,7.578947368421053,55.0,,24.0,Spin,8.060264054232974,6.265256054527724,4.700036805670589,3.208955223856651,6.002473710161304,10.0,6.5
27,MRJ Watt,6.321826182488428,TIER-2 CONSIDER,6.357142857142857,4166.666666666667,9.571428571428571,84.0,,30.0,Spin,8.176466575318893,6.224933723062721,3.3066933071613693,5.373134328318113,6.002473710161304,10.0,6.5
28,Karan KC,6.248171337615052,TIER-2 CONSIDER,7.455621301775148,4615.384615384614,8.921052631578947,169.0,0.40800225415610036,33.0,Spin,6.565197841530306,7.4190950779878095,3.7615016566747563,9.999999999925373,5.4249263823090965,3.5,6.5
29,Milind Kumar,5.786337781718832,TIER-2 CONSIDER,6.294117647058823,4411.764705882353,21.0,102.0,,22.0,Spin,8.268913132595538,6.877206732055417,6.993006174127459e-10,6.716417910397642,6.002473710161304,6.666666666666666,6.5
30,R Dhakal,5.683862839365324,TIER-2 CONSIDER,7.68,3466.6666666666665,7.935483870967741,75.0,-0.5658100558659225,26.0,Medium Pace,6.236074969120271,4.362042009379576,4.4507105801309,4.70149253727835,6.803405769993126,10.0,8.0
31,Pratis GC,5.529540867857024,TIER-2 CONSIDER,8.614285714285714,3642.857142857143,8.584615384615384,140.0,1.0678939617083945,30.0,Medium Pace,4.865647204051266,4.830933120986899,3.9967724587307254,9.552238805898869,4.490817101082323,10.0,8.0
32,Bipin Khatri,5.501579395587526,TIER-2 CONSIDER,7.125,4500.000000000001,15.333333333333334,80.0,-0.22193877551020424,26.0,Spin,7.050159352498417,7.112025015292791,6.993006174127459e-10,5.074626865633775,6.316639000762048,10.0,6.5
33,Shahab Alam,5.49782842835484,TIER-2 CONSIDER,7.5,5000.0,10.25,48.0,2.833333333333333,28.0,Spin,6.500102336702371,8.44266195363789,2.832167832669078,2.6865671641590567,1.9917505366682964,10.0,6.5
34,JJ Smit,5.475662556734711,TIER-2 CONSIDER,8.033898305084746,4067.7966101694915,9.529411764705882,59.0,,30.0,Pace,5.7169703142130865,5.961813424519901,3.3360756894828727,3.5074626865409906,6.002473710161304,10.0,9.0
35,JDS Neesham,5.471764362351342,TIER-2 CONSIDER,7.111111111111111,3333.333333333333,7.111111111111111,27.0,-1.988888888888889,35.0,Pace,7.070531834564938,4.007205492487548,5.027195027542774,1.1194029850662737,8.81784409469169,2.0,9.0
36,Basir Ahamad,5.458134271633754,TIER-3 MONITOR,7.352112676056338,3943.661971830985,11.739130434782608,71.0,-0.12733937873818313,25.0,Medium Pace,6.717026230255742,5.631457154317249,1.7908178783484674,4.402985074594009,6.182728885644869,10.0,8.0
37,D Parashar,5.411673557887515,TIER-3 MONITOR,8.5,3333.333333333333,0.0,12.0,,,,5.033283627912917,4.007205492487548,10.0,0.0,6.002473710161304,5.0,5.0
38,M de Lange,5.40581273590789,TIER-3 MONITOR,8.073298429319372,3664.9214659685867,10.153846153846152,191.0,,35.0,Pace,5.659177474857108,4.889652327690236,2.899408284520214,9.999999999925373,6.002473710161304,2.0,9.0
39,H Dhami,5.381010588618324,TIER-3 MONITOR,8.447368421052634,4210.526315789473,8.210526315789474,76.0,,21.0,Medium Pace,5.110484612586044,6.341656261514044,4.258373206143138,4.776119402949434,6.002473710161304,5.0,8.0
40,K Mahato,5.380768818428964,TIER-3 MONITOR,8.093023255813954,4651.162790697674,10.666666666666666,43.0,0.35968992248062026,24.0,Medium Pace,5.630244730327229,7.514310601304096,2.540792541314163,2.3134328358036322,5.493314872267801,10.0,8.0
41,TR Bhandari,5.334371199139971,TIER-3 MONITOR,6.933333333333334,3111.111111111111,6.933333333333334,45.0,,21.0,Spin,7.331299605016396,3.4158112976675032,5.151515151854205,2.462686567145802,6.002473710161304,5.0,6.5
42,NK Yadav,5.195396748648634,TIER-3 MONITOR,8.787401574803148,4015.748031496063,11.23076923076923,127.0,0.9925297799313535,29.0,Medium Pace,4.6117176210561075,5.823297901777453,2.146315223787508,8.582089552174764,4.597498820013329,10.0,8.0
43,Sompal Kami,5.171983791486721,TIER-3 MONITOR,8.742857142857144,4071.4285714285716,10.25,140.0,1.217433414043584,34.0,Pace,4.677056227206906,5.9714790681398435,2.832167832669078,9.552238805898869,4.279136625729782,3.5,9.0
44,AK Sah,4.938519518155167,TIER-3 MONITOR,8.149253731343284,4179.104477611941,13.5,67.0,,24.0,Medium Pace,5.547764816816681,6.258034144414589,0.5594405601007368,4.10447761190967,6.002473710161304,10.0,8.0
45,R Dhawan,4.821322505530804,TIER-3 MONITOR,8.181818181818182,3818.181818181818,9.6,55.0,,19.0,Pace,5.499998671618654,5.297520099367647,3.2867132871827467,3.208955223856651,6.002473710161304,1.6666666666666665,9.0
46,KS Airee,4.67076081454492,TIER-3 MONITOR,9.759036144578312,3975.903614457831,9.0,83.0,,21.0,Pace,3.186505856003304,5.717260995581654,3.706293706733824,5.298507462647029,6.002473710161304,5.0,9.0
47,LN Rajbanshi,4.565663446327247,TIER-3 MONITOR,8.032258064516128,4032.258064516129,12.6,62.0,2.541348973607037,27.0,Spin,5.71937624976605,5.867235621357047,1.1888111894273545,3.7313432835542453,2.405068808851275,10.0,6.5
48,Santosh Yadav,4.17383628567695,TIER-3 MONITOR,9.214285714285715,3571.4285714285716,10.090909090909092,28.0,,23.0,Spin,3.9855559787775907,4.640842129794741,2.9434202166409538,1.1940298507373586,6.002473710161304,8.333333333333334,6.5
49,Gulbadin Naib,4.129792212192453,TIER-3 MONITOR,9.0,3333.3333333333335,9.833333333333334,54.0,,35.0,Medium Pace,4.29987427351819,4.007205492487549,3.123543124023993,3.1343283581855665,6.002473710161304,2.0,8.0
50,S Dhakal,4.09001305748279,TIER-3 MONITOR,8.571428571428571,3428.5714285714284,12.0,35.0,1.6547619047619042,24.0,Medium Pace,4.928510862999386,4.260660147410426,1.6083916089784323,1.716417910434953,3.6600765626170695,10.0,8.0
51,A Mahata,4.086328374387949,TIER-3 MONITOR,8.526315789473685,2631.578947368421,8.526315789473685,19.0,,,Pace,4.994683135576352,2.1396448772663526,4.037541406379413,0.5223880596975944,6.002473710161304,5.0,9.0
52,Rashid Khan,3.963907953202223,TIER-3 MONITOR,10.200000000000001,3142.8571428571427,8.869565217391305,70.0,1.7000000000000028,27.0,Pace,2.539691822970843,3.500296182641795,3.7975068414188415,4.328358208922925,3.5960398060654954,10.0,9.0
53,WD Parnell,3.956012555538009,TIER-3 MONITOR,8.842105263157896,2105.263157894737,6.461538461538462,19.0,,,Pace,4.531477227537576,0.7389744158504564,5.4814416356037725,0.5223880596975944,6.002473710161304,5.0,9.0
54,N Joshi,3.889888229164961,TIER-3 MONITOR,9.0,3333.3333333333335,13.0,12.0,-5.0,20.0,Pace,4.29987427351819,4.007205492487549,0.9090909097266353,0.0,10.0,3.333333333333333,9.0
55,K Bhurtel,3.5683589046555584,TIER-3 MONITOR,10.0,3000.0,10.0,30.0,1.0,28.0,Medium Pace,2.8330555647287357,3.1201142002574804,3.006993007482027,1.3432835820795284,4.586924354810831,10.0,8.0
56,H Mahara,3.3632488228407524,TIER-3 MONITOR,14.307692307692308,2307.692307692308,0.0,13.0,,,,1.4668188885735844e-09,1.2776938240873403,10.0,0.07462686567108491,6.002473710161304,5.0,5.0
57,MD Taylor,3.2790496345106614,TIER-3 MONITOR,9.10344827586207,2068.9655172413795,10.875,29.0,,,Pace,4.1481344070916935,0.6423764529941876,2.395104895636705,1.2686567164084437,6.002473710161304,5.0,9.0
58,MG Erasmus,3.2468749375375827,TIER-3 MONITOR,10.0,3333.333333333333,8.5,30.0,4.375,31.0,Spin,2.8330555647287357,4.007205492487548,4.055944056359722,1.3432835820795284,1.4155498995194193e-09,6.5,6.5
59,Rupesh Singh,3.15816415782545,TIER-3 MONITOR,10.864864864864865,2972.972972972973,10.064516129032258,37.0,,,Pace,1.564455600370288,3.0481878792658534,2.9618768333367496,1.8656716417771226,6.002473710161304,5.0,9.0
60,K Thagunna,3.1551066765653375,TIER-3 MONITOR,9.230769230769234,1538.4615384615383,9.230769230769232,13.0,,,Medium Pace,3.961377648412927,0.0,3.544916622291101,0.07462686567108491,6.002473710161304,5.0,8.0
