player_name,country,primary_role,batting_hand,bowling_type,date_of_birth,age,career_runs,career_balls_faced,batting_matches,career_wickets,career_balls_bowled,career_overs,bowling_matches,total_matches,career_strike_rate,career_economy
TR Das,Nepal,Batter,Right,,,,39,53,5,0,6,1.0,0,5,73.58,0.00
S Vesawkar,Nepal,Batter,Right,Pace,,,38,53,4,1,41,6.8,2,4,71.70,7.76
CB Sole,Scotland,Batter,Right,Medium Pace,1994-03-28,32.0,35,35,6,11,186,31.0,7,7,100.00,6.84
A Mahata,Nepal,Batter,Right,Pace,,,35,31,4,4,55,9.2,5,5,112.90,7.96
Sohail Tanvir,Pakistan,Batter,Left,Spin,1984-12-12,41.0,34,39,8,24,312,52.0,13,13,87.18,6.08
Imran Sheikh,Nepal,Batter,Right,,,,33,37,1,0,6,1.0,0,1,89.19,0.00
AR Ramjani,Nepal,Batter,Unknown,,,,33,27,1,0,29,4.8,1,1,122.22,4.34
Bipin Khatri,Nepal,Batter,Right,Spin,1999-07-08,26.0,31,42,7,17,226,37.7,13,13,73.81,6.64
NB Budayair,Nepal,Batter,Unknown,,,,28,28,4,0,6,1.0,0,4,100.00,0.00
Shahab Alam,Nepal,Batter,Right,Spin,1997-12-28,28.0,27,48,9,19,313,52.2,15,15,56.25,5.77
R Dhakal,Nepal,Batter,Right,Medium Pace,1999-04-17,26.0,25,26,4,20,285,47.5,13,13,96.15,7.85
N Saud,Nepal,Batter,Right,Spin,2003-10-05,22.0,24,33,6,9,129,21.5,11,11,72.73,6.51
Aqib Ilyas,Nepal,Batter,Right,Medium Pace,,,23,37,2,1,47,7.8,2,2,62.16,6.38
Nar Sarki,Nepal,Batter,Unknown,,,,22,19,1,0,17,2.8,1,1,115.79,6.71
SMLD Samarakoon,Nepal,Batter,Unknown,,,,22,26,1,0,11,1.8,1,1,84.62,3.27
S Patel,Nepal,Batter,Unknown,,,,22,33,2,0,6,1.0,0,2,66.67,0.00
SP Jackson,Nepal,Batter,Unknown,,,,21,20,2,0,6,1.0,0,2,105.00,0.00
H Dhami,Nepal,Batter,Right,Medium Pace,2004-04-26,21.0,20,33,4,10,112,18.7,7,7,60.61,7.61
Rupesh Singh,Nepal,Batter,Right,Pace,,,20,31,4,5,60,10.0,4,4,64.52,9.30
MP O'Dowd,Nepal,Batter,Right,,,,20,35,1,0,6,1.0,0,1,57.14,0.00
LN Rajbanshi,Nepal,Batter,Right,Spin,1998-08-30,27.0,19,34,5,21,365,60.8,15,15,55.88,5.88
Sunny Patel,Nepal,Batter,Right,Spin,,,19,20,3,5,79,13.2,3,3,95.00,5.16
D Kandel,Nepal,Batter,Right,Spin,,,18,19,4,7,107,17.8,6,6,94.74,5.27
Surya Tamang,Nepal,Batter,Right,Medium Pace,2004-04-17,21.0,18,30,4,6,177,29.5,10,10,60.00,7.42
UBT Chand,Nepal,Batter,Unknown,,,,18,34,4,0,6,1.0,0,4,52.94,0.00
KS Airee,Nepal,Batter,Right,Pace,2004-07-18,21.0,17,21,3,6,106,17.7,6,6,80.95,9.62
A Kharel,Nepal,Batter,Right,Pace,2005-11-16,20.0,17,27,3,5,91,15.2,5,5,62.96,8.11
Abhisekh Tiwari,Nepal,Batter,Unknown,,,,14,28,2,0,6,1.0,0,2,50.00,0.00
Z Malik,Nepal,Batter,Unknown,,,,14,30,2,0,6,1.0,0,2,46.67,0.00
P Mehra,Nepal,Batter,Unknown,,,,13,19,2,5,25,4.2,2,2,68.42,5.52
J Tromp,Nepal,Batter,Right,,,,13,19,1,0,6,1.0,0,1,68.42,0.00
Abhishesh Gautam,Nepal,Batter,Right,Spin,2002-05-03,23.0,12,18,4,14,296,49.3,14,14,66.67,6.16
A Yadav,Nepal,Batter,Right,Medium Pace,,,12,29,2,3,59,9.8,3,3,41.38,7.02
UBS Thakuri,Nepal,Batter,Right,Medium Pace,,,12,23,2,2,59,9.8,5,5,52.17,6.51
D Rawat,Nepal,Batter,Right,Pace,,,12,15,2,0,35,5.8,2,2,80.00,7.54
DS Bajwa,Nepal,Batter,Unknown,,,,12,21,1,0,6,1.0,0,1,57.14,0.00
Ismat Alam,Nepal,Batter,Right,Pace,,,11,25,3,2,49,8.2,3,3,44.00,9.31
Deepak Dumre,Nepal,Batter,Unknown,,,,10,18,1,0,6,1.0,0,1,55.56,0.00
Mukhtar Ahmed,Nepal,Batter,Right,,,,10,16,1,0,6,1.0,0,1,62.50,0.00
BCJ Cutting,Nepal,Batter,Unknown,,,,10,26,3,0,6,1.0,0,3,38.46,0.00
NK Yadav,Nepal,Batter,Left,Medium Pace,1996-05-19,29.0,9,32,7,24,312,52.0,15,15,28.13,7.85
K Mahato,Nepal,Batter,Right,Medium Pace,2001-10-30,24.0,9,32,5,16,272,45.3,14,14,28.13,7.65
TR Bhandari,Nepal,Batter,Right,Spin,2004-05-15,21.0,9,18,2,10,195,32.5,9,9,50.00,5.32
S Dhakal,Nepal,Batter,Right,Medium Pace,2001-11-11,24.0,9,14,6,8,244,40.7,12,12,64.29,7.40
Aakarshit Gomel,Nepal,Batter,Unknown,,,,8,20,1,0,11,1.8,1,1,40.00,7.09
RR Simmonds,Nepal,Batter,Right,Medium Pace,2003-07-30,22.0,6,18,4,9,157,26.2,7,7,33.33,7.53
Subash Bhandari,Nepal,Batter,Right,Spin,,,6,18,2,6,78,13.0,4,4,33.33,5.77
Aakash Chand,Nepal,Batter,Right,Pace,2004-01-23,22.0,6,14,4,5,139,23.2,8,8,42.86,10.01
TJ Draca,Nepal,Batter,Unknown,,,,6,9,1,0,25,4.2,1,1,66.67,6.48
A Bohara,Nepal,Batter,Right,Medium Pace,1996-02-11,30.0,5,17,4,27,307,51.2,17,17,29.41,7.43
D Gupta,Nepal,Batter,Right,Pace,,,5,9,2,3,71,11.8,4,4,55.56,9.30
Milan Bohara,Nepal,Batter,Unknown,,,,5,7,1,0,11,1.8,1,1,71.43,3.27
MD Taylor,Nepal,Batter,Right,Pace,,,4,11,1,4,53,8.8,2,2,36.36,8.26
B Khatri,Nepal,Batter,Unknown,,,,4,9,1,0,11,1.8,1,1,44.44,6.55
Rohan Mustafa,Nepal,Batter,Right,,,,4,12,1,0,11,1.8,1,1,33.33,4.36
Basil Hameed,Nepal,Batter,Right,Pace,,,3,11,2,1,41,6.8,2,2,27.27,7.90
R Vasconcelos,Nepal,Batter,Unknown,,,,3,9,1,0,6,1.0,0,1,33.33,0.00
SK Chettri,Nepal,Batter,Unknown,,,,2,9,1,1,14,2.3,1,1,22.22,2.14
R Kumar,Nepal,Batter,Right,Spin,2003-03-19,22.0,1,7,2,10,211,35.2,10,10,14.29,6.80
UB Singh,Nepal,Batter,Unknown,,,,1,7,1,2,29,4.8,2,2,14.29,8.28
NA Sowter,Nepal,Batter,Right,Pace,,,1,6,1,1,61,10.2,3,3,16.67,8.56
A Shrestha,Nepal,Batter,Unknown,,,,1,10,1,0,6,1.0,0,1,10.00,0.00
Sameer Ali,Nepal,Batter,Unknown,,,,1,7,1,0,6,1.0,0,1,14.29,0.00
BP Sharma,Nepal,Batter,Right,Spin,2000-09-27,25.0,0,11,4,16,261,43.5,12,12,0.00,6.00
Y Khatri,Nepal,Batter,Right,Pace,,,0,9,1,3,71,11.8,4,4,0.00,8.03
B Aagri,Nepal,Batter,Unknown,,,,0,6,0,3,23,3.8,2,2,0.00,4.96
BFW de Leede,Nepal,Batter,Unknown,,,,0,6,1,2,30,5.0,1,1,0.00,4.00
GLS Scrimshaw,Nepal,Batter,Unknown,,,,0,6,1,2,31,5.2,1,1,0.00,7.74
BWM Mike,Nepal,Batter,Unknown,,,,0,6,0,1,27,4.5,1,1,0.00,6.89
SM Dhakal,Nepal,Batter,Unknown,,,,0,6,0,1,18,3.0,1,1,0.00,8.33
S Aryal,Nepal,Batter,Unknown,,,,0,6,0,1,18,3.0,1,1,0.00,6.33
Rohit Chand,Nepal,Batter,Unknown,,,,0,6,0,1,29,4.8,1,1,0.00,6.21
H Mahara,Nepal,Batter,Unknown,,,,0,6,0,1,25,4.2,2,2,0.00,8.16
Gautam KC,Nepal,Batter,Unknown,,,,0,6,0,0,17,2.8,1,1,0.00,9.88
JK Mukhiya,Nepal,Batter,Unknown,,,,0,6,1,0,18,3.0,1,1,0.00,5.33
M Subasingha,Nepal,Batter,Unknown,,,,0,6,0,0,17,2.8,1,1,0.00,3.53
B Karki,Nepal,Batter,Right,Medium Pace,,,0,6,0,0,35,5.8,2,2,0.00,6.69
Rit Gautam,Nepal,Batter,Unknown,,,,0,9,2,0,6,1.0,0,2,0.00,0.00
TB Thapa,Nepal,Batter,Unknown,,,,0,6,0,0,29,4.8,3,3,0.00,7.03
Saugat Dhakal,Nepal,Batter,Unknown,,,,0,6,0,0,11,1.8,1,1,0.00,7.64
Sachin Bhatt,Nepal,Batter,Unknown,,,,0,6,0,0,31,5.2,2,2,0.00,8.32
D Parashar,Nepal,Batter,Unknown,,,,0,6,0,0,17,2.8,1,1,0.00,6.00
