season,total_matches,wins,win_rate,toss_wins,toss_win_rate,toss_converted,toss_conversion_rate,batting_first_matches,batting_first_wins,batting_first_win_rate,chasing_matches,chasing_wins,chasing_win_rate,close_matches,close_wins,close_match_win_rate
S1,10,7,70.0,5,50.0,3,60.0,2,1,50.0,8,6,75.0,0,0,0
S2,7,1,14.3,4,57.1,0,0.0,3,0,0.0,4,1,25.0,0,0,0
