bowler_name,phase,s1_balls,s1_economy_raw,s1_economy_shrunk,s2_balls,s2_economy_raw,s2_economy_shrunk,s3_economy_proj,specialist_flag
D Lakshan,Death,0,,8.73,23,5.74,7.9,7.65,AVERAGE
D Lakshan,Powerplay,0,,6.65,50,5.64,6.19,6.05,AVERAGE
D Parashar,Powerplay,0,,6.65,12,8.5,6.96,7.05,AVERAGE
D Rawat,Middle,0,,6.82,30,8.8,7.48,7.68,AVERAGE
DA Douthwaite,Death,5,20.4,9.63,22,5.45,7.85,7.32,AVERAGE
DA Douthwaite,Middle,13,3.69,6.26,32,7.88,7.19,7.47,AVERAGE
DA Douthwaite,Powerplay,26,6.0,6.45,14,7.29,6.77,6.87,AVERAGE
DJ Malan,Death,0,,8.73,3,10.0,8.79,8.81,AVERAGE
DJM Short,Death,0,,8.73,12,14.5,9.69,9.98,AVERAGE
DJM Short,Middle,0,,6.82,70,7.97,7.44,7.63,AVERAGE
DS Airee,Death,43,6.0,7.59,0,,8.73,9.07,AVERAGE
DS Airee,Middle,72,6.17,6.47,67,9.76,8.37,8.94,LIABILITY
DS Airee,Powerplay,37,9.57,7.76,79,8.89,7.92,7.97,AVERAGE
Deepak Bohara,Middle,8,6.75,6.81,0,,6.82,6.82,AVERAGE
GLS Scrimshaw,Death,0,,8.73,13,12.0,9.31,9.48,AVERAGE
GLS Scrimshaw,Middle,0,,6.82,13,6.46,6.76,6.74,AVERAGE
Gautam KC,Middle,0,,6.82,12,14.0,8.02,8.38,AVERAGE
Gulbadin Naib,Death,0,,8.73,36,9.83,9.14,9.26,AVERAGE
Gulbadin Naib,Middle,0,,6.82,43,6.56,6.71,6.68,AVERAGE
Gulbadin Naib,Powerplay,0,,6.65,18,7.33,6.81,6.86,AVERAGE
Gulsan Jha,Death,6,14.0,9.21,6,16.0,9.39,9.44,AVERAGE
Gulsan Jha,Middle,25,6.72,6.79,57,8.0,7.39,7.57,AVERAGE
Gulsan Jha,Powerplay,18,7.0,6.73,0,,6.65,6.63,AVERAGE
H Dhami,Death,0,,8.73,19,8.21,8.6,8.56,AVERAGE
H Dhami,Middle,0,,6.82,31,6.77,6.8,6.79,AVERAGE
H Dhami,Powerplay,0,,6.65,57,8.53,7.57,7.85,AVERAGE
H Mahara,Middle,0,,6.82,7,2.57,6.38,6.25,AVERAGE
H Mahara,Powerplay,0,,6.65,13,14.31,8.01,8.42,LIABILITY
H Thaker,Death,36,7.5,8.27,0,,8.73,8.87,AVERAGE
H Thaker,Middle,80,5.92,6.31,0,,6.82,6.97,AVERAGE
H Thaker,Powerplay,72,6.17,6.39,0,,6.65,6.73,AVERAGE
HG Munsey,Middle,0,,6.82,6,9.0,7.02,7.08,AVERAGE
Harmeet Singh,Death,19,3.79,7.54,10,4.2,8.08,8.24,AVERAGE
Harmeet Singh,Middle,50,3.96,5.52,122,6.54,6.63,6.96,AVERAGE
Harmeet Singh,Powerplay,57,5.16,5.92,68,5.56,6.07,6.12,AVERAGE
I Pandey,Middle,31,7.94,7.2,43,8.23,7.41,7.47,AVERAGE
I Pandey,Powerplay,15,4.4,6.2,0,,6.65,6.78,AVERAGE
Ismat Alam,Death,13,11.08,9.15,0,,8.73,8.6,AVERAGE
Ismat Alam,Middle,25,9.84,7.71,0,,6.82,6.55,AVERAGE
Ismat Alam,Powerplay,6,11.0,7.05,0,,6.65,6.53,AVERAGE
JDS Neesham,Death,60,10.7,9.71,27,7.11,8.23,7.79,AVERAGE
JDS Neesham,Middle,44,7.09,6.93,38,12.0,8.83,9.4,LIABILITY
JDS Neesham,Powerplay,60,7.5,7.08,0,,6.65,6.52,AVERAGE
JJ Smit,Death,0,,8.73,17,9.53,8.91,8.96,AVERAGE
JJ Smit,Middle,0,,6.82,13,8.77,7.17,7.28,AVERAGE
JJ Smit,Powerplay,0,,6.65,42,7.43,6.97,7.07,AVERAGE
JK Mukhiya,Middle,6,11.0,7.2,0,,6.82,6.71,AVERAGE
JK Mukhiya,Powerplay,7,4.29,6.4,0,,6.65,6.72,AVERAGE
JN Loftie-Eaton,Death,6,4.0,8.3,12,13.5,9.53,9.9,AVERAGE
JN Loftie-Eaton,Middle,43,7.4,7.06,24,5.75,6.51,6.34,AVERAGE
K Bhurtel,Death,14,9.0,8.78,30,10.0,9.15,9.26,AVERAGE
K Bhurtel,Middle,72,7.75,7.33,113,6.8,6.81,6.65,AVERAGE
K Mahato,Death,78,8.15,8.4,18,10.67,9.18,9.41,AVERAGE
K Mahato,Middle,37,6.97,6.88,7,12.0,7.36,7.5,AVERAGE
K Mahato,Powerplay,102,7.41,7.13,25,6.24,6.53,6.35,AVERAGE
K Thagunna,Death,0,,8.73,13,9.23,8.82,8.85,AVERAGE
K Thagunna,Middle,0,,6.82,38,6.47,6.68,6.64,AVERAGE
KS Airee,Death,0,,8.73,28,9.0,8.82,8.85,AVERAGE
KS Airee,Middle,0,,6.82,18,11.67,7.94,8.28,AVERAGE
KS Airee,Powerplay,0,,6.65,55,10.15,8.32,8.82,LIABILITY
Karan KC,Death,56,7.93,8.34,76,8.92,8.84,8.99,AVERAGE
Karan KC,Middle,24,3.5,5.87,12,6.0,6.68,6.92,AVERAGE
Karan KC,Powerplay,70,6.34,6.48,93,6.26,6.41,6.39,AVERAGE
Kushal Malla,Death,24,9.25,8.88,5,26.4,10.09,10.45,AVERAGE
Kushal Malla,Middle,102,6.24,6.45,62,6.97,6.9,7.04,AVERAGE
Kushal Malla,Powerplay,37,5.84,6.34,30,9.4,7.57,7.94,AVERAGE
LM Benkenstein,Death,6,10.0,8.85,0,,8.73,8.69,AVERAGE
LM Benkenstein,Middle,49,7.47,7.11,0,,6.82,6.73,AVERAGE
LN Rajbanshi,Death,42,7.29,8.14,20,12.6,9.7,10.17,AVERAGE
LN Rajbanshi,Middle,79,5.39,6.01,54,5.89,6.38,6.49,AVERAGE
LN Rajbanshi,Powerplay,123,4.88,5.46,42,5.86,6.32,6.58,AVERAGE
Lokesh Bam,Death,6,8.0,8.66,0,,8.73,8.75,AVERAGE
M Levitt,Death,13,9.69,8.9,0,,8.73,8.68,AVERAGE
M Levitt,Middle,24,6.0,6.59,0,,6.82,6.89,AVERAGE
M Subasingha,Middle,0,,6.82,12,5.0,6.52,6.43,AVERAGE
M de Lange,Death,0,,8.73,78,10.15,9.53,9.77,AVERAGE
M de Lange,Middle,0,,6.82,19,8.21,7.15,7.25,AVERAGE
M de Lange,Powerplay,0,,6.65,113,6.64,6.64,6.64,AVERAGE
MA Leask,Death,18,7.67,8.49,0,,8.73,8.8,AVERAGE
MA Leask,Middle,102,7.24,7.08,0,,6.82,6.74,AVERAGE
MA Leask,Powerplay,13,5.54,6.45,0,,6.65,6.71,AVERAGE
MD Taylor,Death,0,,8.73,16,10.88,9.18,9.32,AVERAGE
MD Taylor,Middle,0,,6.82,19,9.16,7.38,7.55,AVERAGE
MD Taylor,Powerplay,0,,6.65,13,6.92,6.7,6.72,AVERAGE
MG Erasmus,Death,14,5.57,8.13,12,8.5,8.69,8.86,AVERAGE
MG Erasmus,Middle,98,4.96,5.67,55,5.45,6.16,6.31,AVERAGE
MG Erasmus,Powerplay,50,5.64,6.19,18,11.0,7.65,8.09,AVERAGE
MJJ Critchley,Death,6,20.0,9.75,0,,8.73,8.42,AVERAGE
MJJ Critchley,Middle,49,9.43,7.99,0,,6.82,6.47,AVERAGE
MMMS Cooray,Death,0,,8.73,12,4.5,8.03,7.82,AVERAGE
MMMS Cooray,Middle,0,,6.82,24,5.75,6.51,6.42,AVERAGE
MMMS Cooray,Powerplay,0,,6.65,37,5.19,6.09,5.92,AVERAGE
MRJ Watt,Death,0,,8.73,42,9.57,9.08,9.18,AVERAGE
MRJ Watt,Middle,0,,6.82,49,6.98,6.89,6.91,AVERAGE
MRJ Watt,Powerplay,0,,6.65,42,3.14,5.2,4.77,SPECIALIST
Maaz Sadaqat,Death,0,,8.73,32,7.12,8.17,8.0,AVERAGE
Maaz Sadaqat,Middle,0,,6.82,42,6.0,6.48,6.38,AVERAGE
Maaz Sadaqat,Powerplay,0,,6.65,48,6.75,6.69,6.7,AVERAGE
Mayan Yadav,Middle,0,,6.82,18,6.33,6.71,6.68,AVERAGE
Milan Bohara,Middle,0,,6.82,6,6.0,6.75,6.73,AVERAGE
Milind Kumar,Death,0,,8.73,6,21.0,9.85,10.19,AVERAGE
Milind Kumar,Middle,0,,6.82,62,5.32,6.06,5.83,AVERAGE
Milind Kumar,Powerplay,0,,6.65,96,5.38,5.87,5.64,AVERAGE
Mohammad Aadil Alam,Middle,0,,6.82,6,11.0,7.2,7.31,AVERAGE
Mohammad Mohsin,Death,27,4.67,7.47,0,,8.73,9.11,AVERAGE
Mohammad Mohsin,Middle,169,6.28,6.42,0,,6.82,6.94,AVERAGE
Mohammad Mohsin,Powerplay,12,5.0,6.38,0,,6.65,6.73,AVERAGE
N Bhatta,Middle,0,,6.82,73,7.15,7.0,7.05,AVERAGE
N Bhatta,Powerplay,0,,6.65,24,8.0,7.04,7.16,AVERAGE
N Joshi,Death,0,,8.73,6,13.0,9.12,9.24,AVERAGE
N Joshi,Middle,6,10.0,7.11,19,10.42,7.69,7.86,AVERAGE
N Joshi,Powerplay,9,14.0,7.61,6,5.0,6.5,6.17,AVERAGE
N Saud,Death,7,4.29,8.27,0,,8.73,8.87,AVERAGE
N Saud,Middle,63,7.05,6.94,36,7.0,6.89,6.87,AVERAGE
N Saud,Powerplay,18,6.33,6.58,0,,6.65,6.67,AVERAGE
NA Sowter,Death,6,16.0,9.39,0,,8.73,8.53,AVERAGE
