bowler_name,economy_rate_s1,economy_rate_s2,economy_rate_delta,dot_ball_pct_s1,dot_ball_pct_s2,dot_ball_pct_delta,wickets_s1,wickets_s2,wickets_delta
LN Rajbanshi,6.33,17.5,11.17,41.7,25.0,-16.7,4,1,-3
K Mahato,8.68,10.67,1.99,30.8,33.3,2.5,11,1,-10
