bowler_name,economy_rate_s1,economy_rate_s2,economy_rate_delta,dot_ball_pct_s1,dot_ball_pct_s2,dot_ball_pct_delta,wickets_s1,wickets_s2,wickets_delta
LN Rajbanshi,6.0,5.04,-0.96,48.5,33.9,-14.6,4,2,-2
TB Thapa,9.5,7.5,-2.0,33.3,25.0,-8.3,0,0,0
