season,n,wae_observed,wae_ci_lo,wae_ci_hi,wae_per_match_observed,wae_per_match_ci_lo,wae_per_match_ci_hi
S1,10,1.79,-1.26,4.56,0.179,-0.126,0.456
S2,7,-2.45,-3.67,-0.34,-0.35,-0.525,-0.049
