season,matches,wins,win_pct,sos_mean_opp_elo,expected_wins,expected_win_pct,wins_above_expected,wae_per_match
S1,10,7.0,70.0,1511.3,5.21,52.1,1.79,0.179
S2,7,1.0,14.3,1497.7,3.45,49.3,-2.45,-0.35
